status,rt_counts
Pre-game pep talk in Syracuse.https://t.co/OxEsgPbn2D,278
RT @HillaryForNY: "Hillary has always delivered for New York. Both as first lady and as senator.” —@NYAmNews https://t.co/qQvbKkWoKs,270
We can't let Republican governors get in the way of affordable college. Read Hillary's plan: https://t.co/A4pWb3xp6Chttps://t.co/VrfRQO5CiX,719
Watch @HamiltonMusical's @reneeelisegolds welcome Hillary to Harlem with the national anthem. Work.https://t.co/7OISyErw1j,1056
RT @TheBriefing2016: If you live in Wisconsin,  Bernie Sanders' "free college" plan probably wouldn't apply to you. Here's why.https://t.c…,474
"Es una amiga nuestra de mucho antes y de siempre". —Congresista Luis Gutiérrez sobre Hillary Clintonhttps://t.co/1VywWXG4oM,422
.@BusinessInsider: “Do you trust Donald Trump with our military?”Hillary: “Of course not.” https://t.co/2qm7SVJSuRhttps://t.co/zjDxxTmNOI,827
“You’ve always had my back, and I’ve always tried to have yours.” https://t.co/PoSYbXVyeO https://t.co/miQFIXahOY,701
Picked up this necklace at a great women-owned shop in Madison, WI. Looks like they've got fans in New York, too. -H https://t.co/nsYBTtSwRc,1493
From Super Tuesday to "Live at the Apollo." March, in photos. https://t.co/JzE48z7bkb https://t.co/aPofSjFhkZ,674
Trump's attacks on women's health are just as bad as the rest of the GOP candidates'. https://t.co/fpYTypTym9 https://t.co/4TxbhvME8a,1535
Candidates who support the assault on women's rights have no business being president. https://t.co/HlzSzuOACm,2916
14.4 million new jobs—and 11 other numbers that show how far we’ve come under @POTUS: https://t.co/BGfkH8xxYH https://t.co/Aad2ZvkIbI,1381
RT @mpshapiro: See @HillaryClinton's Make It In America plan to create good manufacturing jobs nationwide—just like she did in NY: https://…,375
RT @TheBriefing2016: Women's constitutional rights are under assault from every Republican candidate in this race. Watch:https://t.co/QhQ1…,665
RT @businessinsider: Clinton on Trump's abortion comments: Republicans are embarrassed he said what they believe https://t.co/n9w2BozBr6 ht…,619
Every Republican candidate wants to ban abortion, and their frontrunner said he'd punish women seeking it. https://t.co/u50i7u0pga,1042
Now that's what we call #NewYorkValues. Thanks, @NYGovCuomo. -H https://t.co/eHfC9VS7NL,985
Some are claiming we can solve America’s problems by building walls and turning against each other.We know better.https://t.co/OssP7gHQCD,2044
We can’t afford to let this agenda into the White House. (via @PPact) https://t.co/GcdhvQkus6,2471
