status,rt_counts
It's the longest &amp; most successful alliance of the past 100 years. Yes, it must innovate. Disbanded? No way. https://t.co/2hO9E8rm8Z,56
RT @uvaburger: Fascinating read by @johnkimelman in @barronsonline re: @JohnKasich https://t.co/6Vf7EGtqjY,24
Tune in tomorrow! https://t.co/vHpdhJaoIz,33
"[Kasich is] the perfect candidate for president, with the right balance of experience and success"  https://t.co/gr2maZ8MRE,152
Gov. Kasich chatting w/ some Burlington EMTs before our WI town hall. Watch it live here: https://t.co/1B77dOF2Kr https://t.co/xWx8ZX31s1,34
RT @TeamJohnKasich: Wind, snow or shine, Madison is Kasich Country! #KasichGroundGame https://t.co/8vMGuNC2Fz,61
Visit https://t.co/BozyxHzeLL to watch a live feed of Gov. Kasich's town hall in Burlington, WI this morning!,22
Records matter. America needs a president who knows how to get things done. https://t.co/e6Gq4Crl2X,227
Good morning! Don't miss Gov. Kasich on @CNN @smerconish at 9am EDT today. #KasichForUs,43
RT @CMT_82: I'm making phone calls from home for @JohnKasich because our next President can't have on the job training. Join me https://t.c…,31
Thanks for your support! #Kasich4Us https://t.co/WsQPA7HQge,35
Gov. Kasich enjoyed being back in his native state at a town hall in Hershey, PA this morning! #KasichForUs https://t.co/0ktUGgXesK,121
Ohioans have created more than 400,000 private sector jobs on John Kasich's watch. https://t.co/P1RHhUZbkq,142
RT @CBS21NEWS: LIVE: @JohnKasich addressing the #PLC in Camp Hill https://t.co/kjbwamtq9b https://t.co/47borhEHDr,15
Thanks @RepCharlieDent for the kind words &amp; support.  https://t.co/B6S5Bcs8GK,28
RT @alweaver22: Here's pano of @JohnKasich in Hershey at the Antique Automobile Museum near HersheyPark https://t.co/UsCMZLheVp,37
We're coming your way, New Yorkers! Register for an event at https://t.co/Kk2Oq3nUtn. https://t.co/SsGdnxeGV1,41
RT @DauphinCommish: Waiting for @JohnKasich to arrive. Packed house!!! https://t.co/JdEIcaCu1m,23
RT @Phil_Mattingly: Standing room only in Hershey, PA as @JohnKasich returns to the state for two events today https://t.co/g4v38zNDki,59
RT @CassieSpodak: Hershey, PA - People waiting to get into @JohnKasich's town hall this morning https://t.co/H0vaL2crG3,37
