status,rt_counts
RT @DenverCP: Ted Cruz has now won 6 of Colorado's GOP delegates to national convention....(he swept CD1 and CD6) copolitics kdvr… https://…,212
Honored to earn the endorsement of Wisconsin Congressman @reidribble: https://t.co/XFo7fSu50f #CruzCrew #ChooseCruzhttps://t.co/mExskKFqu4,374
RT @RealBPhil: Wisconsin Congressman Reid Ribble Announces His Endorsement of Ted Cruz https://t.co/q0A6Tquk97,204
RT @MattBatzel: BREAKING: Ted Cruz wins straw poll at PA Leadership Conference with 65%!  #plc2016 #PAprimary #cruzcrew https://t.co/oIeu0i…,535
#ChooseCruz and we'll see a president who will stand with the people of Wisconsin and Americans everywhere!https://t.co/iXkpv1B2bn,423
The big game on Monday. #CruzCrew HQ. And my hometown of Houston!Enter before the contest ends at midnight --&gt; https://t.co/KGwK7EBeOL,134
RT @RonNehring: I'll be on @CNN at 5:10 PM ET/2:10 PM PT talking about Ted Cruz' momentum going into Wisconsin.,134
RT @kathyb12201: WATCH and RT: Governor @ScottWalker: On Tuesday, please join me in supporting @TedCruz: https://t.co/WTh7bl6nFh #ChooseCru…,157
Join @megynkelly and me in Madison, WI, on Monday: https://t.co/16WpSTKFsU https://t.co/8sRGe37xh3,348
TUESDAY: #ChooseCruz in Wisconsin: https://t.co/elr0EH0EBshttps://t.co/90K2IrGLzA,428
RT @SalenaZitoTrib: .@tedcruz is prepared for the long game more so than people realize, my interview: https://t.co/mr0ttyBMzg https://t.co…,236
RT @politico: Cruz: Trump would be ‘trainwreck,’ lose to Clinton by ‘double digits’ https://t.co/2ZPyU12Z72 | AP Photo https://t.co/9Bx15HC…,254
Thanks Alex! https://t.co/2app8cYx5v,180
RT @MrJoshPerry: Nolte walked into the speech undecided between @JohnKasich and @TedCruz. She left a member of the #CruzCrew:https://t.co/…,164
RT @FoxNews: .@tedcruz: "We are going to keep the federal government the heck out of the way &amp; develop our resources."https://t.co/NDsGLMy…,418
RT @heidiscruz: Meet Anthony-he made over 1300 phone calls yesterday! #CruzToVictory #CruzCrew https://t.co/Avi5gDTtVl,269
RT @CarlyFiorina: Great to be in Fargo with @TedCruz for the North Dakota GOP Convention! https://t.co/c8LEPzKHZH,347
RT @ajjaffe: Cruz arrives to a standing O https://t.co/SKYe14zVUX,350
RT @josie_peterson: Incredible enthusiasm for @tedcruz at the #NDGOP convention #CruzCrew https://t.co/argUsI81Wu,223
RT @ShaneGoldmacher: Cruz does Fargo https://t.co/uf0Mfyv1Lo,170
